customer_id,year_month,active_users,api_calls,logins_per_day,days_since_last_login,features_used_count,support_tickets,engagement_score,churned
CUST_0001,2023-01,2,1343,0.9916833288931091,40,1,1,16.4,0
CUST_0002,2023-01,3,812,0.7981523033077988,10,3,4,33.3,0
CUST_0003,2023-01,4,1445,1.9563166333654762,23,6,2,41.5,0
CUST_0004,2023-01,2,221,1.3010888103410336,5,1,1,32.6,0
CUST_0005,2023-01,2,1452,1.247854936695259,25,2,1,26.5,0
CUST_0006,2023-01,9,9733,0.46252723796608475,6,7,4,45.2,0
CUST_0007,2023-01,2,1051,0.28481621501808263,56,1,0,6.2,0
CUST_0008,2023-01,5,6218,0.6932875647189526,38,7,1,31.7,0
CUST_0009,2023-01,2,274,1.0265479012334386,18,4,4,33.3,0
CUST_0010,2023-01,6,10430,2.2687218984713753,5,10,0,61.2,0
CUST_0011,2023-01,68,122055,2.6504972542344545,42,6,0,57.3,0
CUST_0012,2023-01,15,12810,0.8748412072321547,28,8,2,42.5,0
CUST_0013,2023-01,6,12379,2.2389600393160944,42,9,4,43.1,0
CUST_0014,2023-01,3,1147,1.8403944431644508,38,6,0,34.3,1
CUST_0015,2023-01,3,630,1.080433488790189,1,9,2,53.4,0
CUST_0016,2023-01,5,13069,0.23283559111214505,18,4,3,30.2,0
CUST_0017,2023-01,52,58575,2.4416857593043604,3,6,4,67.4,0
CUST_0018,2023-01,17,14428,3.491128396472957,57,8,3,44.1,0
CUST_0019,2023-01,12,9664,1.2861312038902737,5,9,0,55.6,0
CUST_0020,2023-01,9,9797,0.8326727835040608,48,3,4,19.5,0
CUST_0021,2023-01,2,1346,4.457805173345417,56,2,2,29.6,0
CUST_0022,2023-01,1,1400,1.5201189079414292,36,6,0,32.9,0
CUST_0023,2023-01,11,13082,1.2733405750047908,27,4,4,33.6,0
CUST_0024,2023-01,79,67181,4.314065310127596,29,1,4,62.0,0
CUST_0025,2023-01,2,1305,4.122114076000454,6,8,3,63.7,0
CUST_0026,2023-01,4,6740,2.3520630585182416,8,9,0,57.2,0
CUST_0027,2023-01,2,1315,2.5483465348533176,24,9,2,50.9,0
CUST_0028,2023-01,12,4299,1.2451937832033053,32,2,2,26.7,0
CUST_0029,2023-01,2,962,0.5758480183018759,0,9,0,51.0,0
CUST_0030,2023-01,2,671,2.952472761707173,50,7,0,37.1,0
CUST_0031,2023-01,10,13479,0.6720556236330231,5,5,1,41.9,0
CUST_0032,2023-01,3,1446,2.356517825391919,17,7,3,48.1,0
CUST_0033,2023-01,5,10795,4.714386552862451,9,9,0,68.9,0
CUST_0034,2023-01,9,10664,4.773605068018805,27,8,0,60.5,0
CUST_0035,2023-01,42,128167,1.3487949754273212,10,6,1,55.9,0
CUST_0036,2023-01,2,1448,3.1957444162191413,32,4,1,38.3,0
CUST_0037,2023-01,2,1014,2.475566067717717,0,1,4,40.5,0
CUST_0038,2023-01,3,800,4.403288612413308,12,6,2,58.0,0
CUST_0039,2023-01,40,125890,1.5028681485250555,36,3,3,37.7,0
CUST_0040,2023-01,20,25650,0.2177715527956009,19,6,4,39.5,0
CUST_0041,2023-01,10,13638,0.9802937884707925,0,6,0,48.1,0
CUST_0042,2023-01,12,7159,1.8777094456131105,51,4,1,26.9,0
CUST_0043,2023-01,7,9039,1.7154614228983451,2,2,2,40.0,0
CUST_0044,2023-01,8,13664,3.9985420117898522,17,9,4,62.9,0
CUST_0045,2023-01,2,833,3.4666911974664214,40,2,2,31.3,0
CUST_0046,2023-01,8,12589,1.6378703341515068,13,3,1,37.8,0
CUST_0047,2023-01,3,1455,2.3971703223978245,30,10,4,50.4,0
CUST_0048,2023-01,9,10440,0.6586836990000091,26,1,4,22.8,0
CUST_0049,2023-01,12,11245,4.511102935136484,16,7,2,62.2,0
CUST_0050,2023-01,7,9522,4.690039157352964,54,1,1,30.7,0
CUST_0051,2023-01,2,1046,4.903056969828503,45,9,0,53.9,0
CUST_0052,2023-01,3,553,4.3690535877720205,28,1,4,38.6,0
CUST_0053,2023-01,2,882,1.0350122609418826,35,5,0,28.7,0
CUST_0054,2023-01,3,484,0.4217431193678184,36,7,1,30.6,0
CUST_0055,2023-01,2,640,2.9820642915808353,25,3,4,37.6,0
CUST_0056,2023-01,45,19882,4.58050412903893,52,9,4,63.0,0
CUST_0057,2023-01,15,11055,1.0512865359667658,16,8,0,48.3,0
CUST_0058,2023-01,2,1676,0.23380599019588094,21,3,3,25.6,0
CUST_0059,2023-01,3,817,4.066381020954773,24,5,0,48.8,0
CUST_0060,2023-01,3,1386,0.5686192845763232,1,7,0,45.9,0
CUST_0061,2023-01,10,14502,2.185788953168146,54,4,3,26.6,0
CUST_0062,2023-01,10,5203,3.458659218506168,21,5,1,49.2,0
CUST_0063,2023-01,49,60648,1.3366284101896646,4,3,1,53.0,0
CUST_0064,2023-01,1,1396,0.6030203045442881,3,9,4,49.6,0
CUST_0065,2023-01,55,96306,3.8961018965879775,35,10,2,72.3,0
CUST_0066,2023-01,39,48368,3.224840407457799,5,9,2,73.9,0
CUST_0067,2023-01,3,745,4.944754325536663,51,7,4,46.9,0
CUST_0068,2023-01,70,116786,1.8526785599358044,20,10,2,73.1,0
CUST_0069,2023-01,1,682,0.49645945419295856,12,2,0,27.8,0
CUST_0070,2023-01,14,100,3.7248801696094196,53,7,0,43.5,0
CUST_0071,2023-01,2,871,2.7043204104955794,36,7,3,41.7,0
CUST_0072,2023-01,48,90360,1.2233788706678483,54,5,3,36.3,0
CUST_0073,2023-01,36,100369,3.952299147222845,24,9,4,68.7,0
CUST_0074,2023-01,10,15035,1.17802633207973,25,3,4,31.1,0
CUST_0075,2023-01,10,10214,1.4511759431980955,54,4,4,22.9,0
CUST_0076,2023-01,3,1097,0.6441370609602519,38,1,0,15.8,0
CUST_0077,2023-01,2,1422,2.117274939348101,19,6,2,43.3,0
CUST_0078,2023-01,4,1004,2.210860274899611,32,4,4,34.0,0
CUST_0079,2023-01,3,1854,2.6698965936718326,13,1,4,36.4,0
CUST_0080,2023-01,10,4945,3.603028482194132,55,2,0,28.3,0
CUST_0081,2023-01,2,626,4.549284457666044,35,3,0,41.3,0
CUST_0082,2023-01,45,124558,0.8611236746614814,16,9,0,59.4,0
CUST_0083,2023-01,9,15017,0.46087087207355387,20,8,2,41.8,0
CUST_0084,2023-01,10,9196,0.2889499212527998,45,7,4,28.4,0
CUST_0085,2023-01,2,595,0.8893826147303181,15,4,1,33.8,0
CUST_0086,2023-01,40,170439,3.3581575317518046,45,1,1,38.2,0
CUST_0087,2023-01,52,68305,3.691889974383184,15,8,4,73.7,0
CUST_0088,2023-01,2,1135,3.975227424934986,55,4,4,32.6,0
CUST_0089,2023-01,10,15256,1.3697994171408447,19,3,4,34.6,0
CUST_0090,2023-01,9,8233,1.6682951036552955,28,9,4,47.0,0
CUST_0091,2023-01,3,751,2.5190462987143976,27,10,2,52.3,0
CUST_0092,2023-01,12,7785,0.5032788649290871,7,4,1,38.4,0
CUST_0093,2023-01,3,1360,3.1334793114139816,23,4,3,42.0,0
CUST_0094,2023-01,3,1424,4.9219281616436374,2,9,1,72.2,0
CUST_0095,2023-01,3,1013,1.9318702946144122,24,2,1,30.6,0
CUST_0096,2023-01,2,1753,3.813667880438643,18,5,0,49.7,0
CUST_0097,2023-01,3,1012,2.600162794734118,32,4,4,35.6,0
CUST_0098,2023-01,3,1516,0.8134968529298372,1,9,4,52.1,0
CUST_0099,2023-01,26,82719,2.9947397542524143,14,5,4,54.9,0
CUST_0100,2023-01,11,19335,1.6393964885315118,21,9,0,50.4,0
CUST_0101,2023-01,70,162805,0.36513540057659954,59,9,2,46.9,0
CUST_0102,2023-01,2,948,3.2476627045651703,9,2,2,43.1,0
CUST_0103,2023-01,2,1573,4.322875276758692,17,9,3,62.7,0
CUST_0104,2023-01,8,15535,1.854894881119396,21,3,2,35.6,0
CUST_0105,2023-01,1,1621,2.073418626621298,45,4,2,26.9,0
CUST_0106,2023-01,3,100,4.476904078242615,48,1,4,30.8,0
CUST_0107,2023-01,10,12877,4.105322304163308,26,1,1,40.4,0
CUST_0108,2023-01,3,1216,3.6317735530485304,12,1,2,41.6,0
CUST_0109,2023-01,11,11884,1.3942259060151099,32,9,2,44.6,0
CUST_0110,2023-01,7,10873,4.569039943839893,4,8,0,68.4,0
CUST_0111,2023-01,3,1099,0.9411956361882223,25,5,3,32.7,0
CUST_0112,2023-01,3,1513,3.208498493202665,12,5,0,49.5,0
CUST_0113,2023-01,8,12157,0.3382456666232898,26,9,4,40.9,0
CUST_0114,2023-01,3,1086,3.28985507035974,56,3,1,26.6,0
CUST_0115,2023-01,3,1455,1.5302928889921272,13,3,3,35.7,0
CUST_0116,2023-01,40,116721,2.3584494904818563,23,7,0,57.4,0
CUST_0117,2023-01,3,1205,1.8572698498738547,2,9,2,56.9,1
CUST_0118,2023-01,9,17468,1.0292324299818074,46,6,2,28.8,0
CUST_0119,2023-01,60,82620,3.1855077924505957,50,2,3,44.1,0
CUST_0120,2023-01,2,393,4.433482664674916,48,1,2,30.3,0
CUST_0121,2023-01,1,1028,4.803604362955537,29,2,0,42.3,0
CUST_0122,2023-01,3,1085,1.1232625431387924,34,1,0,19.9,0
CUST_0123,2023-01,3,1288,3.6433893155022723,47,10,2,49.6,0
CUST_0124,2023-01,2,1042,3.388828959707275,13,10,2,62.2,0
CUST_0125,2023-01,12,13020,1.848213389957948,11,9,4,56.0,0
CUST_0126,2023-01,3,2001,0.291676156897884,27,10,1,41.2,0
CUST_0127,2023-01,7,13206,3.5109979871017574,43,8,3,46.9,0
CUST_0128,2023-01,40,139092,4.738375330685601,28,7,0,67.2,0
CUST_0129,2023-01,9,9481,3.2341765851951267,42,3,3,34.0,0
CUST_0130,2023-01,7,4458,2.289405076100644,16,8,4,52.0,0
CUST_0131,2023-01,3,100,2.7207386917358165,39,2,0,28.3,0
CUST_0132,2023-01,10,7925,1.1582182767676041,48,2,4,19.0,0
CUST_0133,2023-01,6,100,3.8026119860179404,20,10,4,62.6,0
CUST_0134,2023-01,2,1205,3.7828151840472755,56,3,2,28.7,1
CUST_0135,2023-01,4,846,0.8984830418596397,22,7,3,39.1,0
CUST_0136,2023-01,73,47465,4.414296235998363,19,1,3,64.8,0
CUST_0137,2023-01,3,1052,1.4921107494718653,10,8,2,49.2,0
CUST_0138,2023-01,2,704,4.914829092495752,56,7,3,44.4,0
CUST_0139,2023-01,2,1180,2.03793446737878,56,4,2,22.5,0
CUST_0140,2023-01,3,1283,1.0538434819255982,33,5,0,30.0,0
CUST_0141,2023-01,10,7192,1.8882565344591309,9,10,4,58.9,0
CUST_0142,2023-01,5,9050,2.312865577746527,9,1,4,36.9,0
CUST_0143,2023-01,13,10859,0.5326773105838152,42,4,3,24.3,0
CUST_0144,2023-01,4,437,2.9754482298717897,59,1,1,19.1,0
CUST_0145,2023-01,3,1085,3.068635711370722,5,1,4,41.7,0
CUST_0146,2023-01,2,427,3.7468661856774665,35,10,2,54.8,0
CUST_0147,2023-01,2,1226,0.34001548299556783,23,1,1,20.2,0
CUST_0148,2023-01,1,825,2.797943429282385,11,7,1,52.2,0
CUST_0149,2023-01,14,4253,0.45395567969918904,42,7,4,31.7,0
CUST_0150,2023-01,2,768,3.5654922558399367,54,4,4,31.0,0
CUST_0151,2023-01,16,7849,0.46749433136472546,22,2,4,28.2,0
CUST_0152,2023-01,4,1427,4.576293672039837,26,3,2,45.8,0
CUST_0153,2023-01,2,1069,3.5699963210455836,57,8,1,39.7,0
CUST_0154,2023-01,2,617,2.6354708724087543,56,8,3,35.5,0
CUST_0155,2023-01,56,165962,2.3192188317496396,44,6,2,51.0,0
CUST_0156,2023-01,4,12505,0.8272286259836594,36,10,0,40.4,0
CUST_0157,2023-01,43,86547,1.5967970699103828,5,9,4,67.0,0
CUST_0158,2023-01,2,378,4.371003704100302,0,9,1,70.0,0
CUST_0159,2023-01,4,830,4.541373495499971,5,4,2,56.9,0
CUST_0160,2023-01,10,9117,0.2035890001785491,49,1,0,11.3,0
CUST_0161,2023-01,2,1147,3.051854679092246,21,1,2,34.6,0
CUST_0162,2023-01,8,12429,3.6526429233205455,40,10,2,54.1,0
CUST_0163,2023-01,3,1322,3.1699855157965104,23,5,3,44.7,0
CUST_0164,2023-01,2,355,0.5920628713584991,24,2,3,23.6,0
CUST_0165,2023-01,2,1083,1.2450795142347306,14,6,2,41.0,0
CUST_0166,2023-01,2,936,1.4016332834306529,25,7,0,39.7,0
CUST_0167,2023-01,5,20711,4.192278230264431,7,1,1,47.1,0
CUST_0168,2023-01,2,1025,2.4233572942828183,50,6,1,31.9,0
CUST_0169,2023-01,2,750,2.5367754173179367,23,8,4,48.7,0
CUST_0170,2023-01,2,1044,4.687486623461641,47,5,4,42.0,0
CUST_0171,2023-01,2,996,3.2580122665026345,37,7,1,44.0,0
CUST_0172,2023-01,9,2043,4.513604967452786,5,10,2,73.3,0
CUST_0173,2023-01,42,116332,2.3912425056393585,53,6,2,43.2,0
CUST_0174,2023-01,70,87577,0.9172940408878123,34,4,3,47.6,0
CUST_0175,2023-01,12,9893,4.663690851555611,41,7,3,52.5,0
CUST_0176,2023-01,2,650,2.4017845552041837,0,10,4,62.6,0
CUST_0177,2023-01,10,5624,1.071830825018345,59,9,1,31.4,0
CUST_0178,2023-01,2,1351,1.6514995534588266,45,10,2,40.1,0
CUST_0179,2023-01,1,1443,0.4438524305069228,35,10,1,38.0,0
CUST_0180,2023-01,10,11672,2.4478428389906486,57,7,0,34.2,0
CUST_0181,2023-01,3,275,4.295015225169136,11,5,1,55.3,0
CUST_0182,2023-01,25,119322,4.681186188832109,37,7,0,58.4,0
CUST_0183,2023-01,3,281,4.67649059601749,10,3,3,52.7,0
CUST_0184,2023-01,9,7355,0.8011041230179843,11,2,3,32.3,0
CUST_0185,2023-01,11,13462,2.0338586360530737,41,5,4,34.1,0
CUST_0186,2023-01,46,126303,0.3354980463233906,49,4,1,30.8,0
CUST_0187,2023-01,13,11827,4.30479365586307,38,5,1,47.3,0
CUST_0188,2023-01,10,15251,1.922027657702114,6,8,0,55.3,0
CUST_0189,2023-01,3,1224,3.229361733882727,10,4,3,47.9,0
CUST_0190,2023-01,13,1923,3.631512502770985,35,9,0,55.2,0
CUST_0191,2023-01,1,852,2.263254414767146,51,7,3,32.9,0
CUST_0192,2023-01,7,9833,1.6709232154411664,30,10,0,48.1,0
CUST_0193,2023-01,11,9365,4.818621968556535,32,7,3,56.7,0
CUST_0194,2023-01,8,7531,4.8295434801145,12,8,0,66.7,0
CUST_0195,2023-01,2,587,1.5892945665441052,17,6,3,41.5,0
CUST_0196,2023-01,4,1960,2.502200464373399,40,8,0,42.1,0
CUST_0197,2023-01,9,8445,4.869651961568107,57,3,1,35.9,0
CUST_0198,2023-01,2,1940,0.2233683567464155,55,10,4,28.8,0
CUST_0199,2023-01,2,543,2.1808555922199164,23,10,0,52.0,0
CUST_0200,2023-01,4,1262,0.6821962384686484,8,1,4,28.8,0
CUST_0201,2023-01,47,109185,2.643958234700493,30,6,1,55.6,0
CUST_0202,2023-01,5,6312,0.3184157817943383,54,1,1,8.2,0
CUST_0203,2023-01,1,812,2.1531124706750138,40,9,3,41.9,0
CUST_0204,2023-01,2,993,1.2593555589696086,9,2,4,33.2,0
CUST_0205,2023-01,2,662,2.759880139801956,59,2,2,19.8,1
CUST_0206,2023-01,12,8975,4.980769515683359,1,7,3,70.8,0
CUST_0207,2023-01,12,540,4.042573304608388,37,2,4,38.6,0
CUST_0208,2023-01,2,1284,4.259082039797223,14,10,0,66.1,0
CUST_0209,2023-01,2,1490,3.2492719393235885,2,8,0,61.0,0
CUST_0210,2023-01,3,1181,0.39948727170684106,42,6,1,25.4,0
CUST_0211,2023-01,4,19057,1.1926288450118918,30,7,2,37.2,0
CUST_0212,2023-01,15,12728,4.640309870945864,5,7,0,68.4,1
CUST_0213,2023-01,3,1457,1.9573429660580057,2,6,4,49.9,0
CUST_0214,2023-01,3,1495,0.6974562871078187,55,10,4,31.5,0
CUST_0215,2023-01,2,100,3.5715457561577693,10,9,0,61.8,0
CUST_0216,2023-01,69,116946,1.6373970748844222,14,9,4,71.7,0
CUST_0217,2023-01,2,446,1.490513181940024,44,7,4,32.3,0
CUST_0218,2023-01,7,5276,4.9902917866796495,51,9,1,53.4,0
CUST_0219,2023-01,9,5972,4.319066840127941,27,10,2,63.2,0
CUST_0220,2023-01,2,874,2.158101528165637,9,3,1,40.2,0
CUST_0221,2023-01,2,1260,4.905253797519196,37,3,2,42.2,0
CUST_0222,2023-01,2,1173,3.3205434724122256,46,1,4,25.6,0
CUST_0223,2023-01,7,9949,3.7617077690228493,56,5,2,35.2,0
CUST_0224,2023-01,7,12890,0.35126260679461563,49,4,4,18.6,0
CUST_0225,2023-01,8,13133,0.7837052448706741,49,2,4,16.0,0
CUST_0226,2023-01,5,11770,3.2388086071819444,6,9,1,62.8,0
CUST_0227,2023-01,2,310,4.515315116717523,14,3,1,49.9,0
CUST_0228,2023-01,65,70426,3.193969885220459,17,8,3,74.5,0
CUST_0229,2023-01,12,10105,0.8433194927311605,17,6,0,40.9,0
CUST_0230,2023-01,2,1293,0.7556482219823581,51,5,3,20.7,0
